Census year,Region,Region Code,Measure,Value,Value Unit,Value Label,Null Reason
2006,Northland,Northland Region,Census usually resident population count,148470,number,Number of people,
2013,Northland,Northland Region,Census usually resident population count,151689,number,Number of people,
2018,Northland,Northland Region,Census usually resident population count,179076,number,Number of people,
2006–13,Northland,Northland Region,Change in resident population count,3219,number,Number of people,
2006–13,Northland,Northland Region,Percentage change in resident population count,2.2,percentage,% change,
2006–13,Northland,Northland Region,Average annual change in resident population count,0.3,percentage,% change,
2013–18,Northland,Northland Region,Change in resident population count,27387,number,Number of people,
2013–18,Northland,Northland Region,Percentage change in resident population count,18.1,percentage,% change,
2013–18,Northland,Northland Region,Average annual change in resident population count,3.4,percentage,% change,
2006,Auckland,Auckland Region,Census usually resident population count,1304958,number,Number of people,
2013,Auckland,Auckland Region,Census usually resident population count,1415550,number,Number of people,
2018,Auckland,Auckland Region,Census usually resident population count,1571718,number,Number of people,
2006–13,Auckland,Auckland Region,Change in resident population count,110592,number,Number of people,
2006–13,Auckland,Auckland Region,Percentage change in resident population count,8.5,percentage,% change,
2006–13,Auckland,Auckland Region,Average annual change in resident population count,1.2,percentage,% change,
2013–18,Auckland,Auckland Region,Change in resident population count,156168,number,Number of people,
2013–18,Auckland,Auckland Region,Percentage change in resident population count,11,percentage,% change,
2013–18,Auckland,Auckland Region,Average annual change in resident population count,2.1,percentage,% change,
2006,Waikato,Waikato Region,Census usually resident population count,380823,number,Number of people,
2013,Waikato,Waikato Region,Census usually resident population count,403641,number,Number of people,
2018,Waikato,Waikato Region,Census usually resident population count,458202,number,Number of people,
2006–13,Waikato,Waikato Region,Change in resident population count,22818,number,Number of people,
2006–13,Waikato,Waikato Region,Percentage change in resident population count,6,percentage,% change,
2006–13,Waikato,Waikato Region,Average annual change in resident population count,0.8,percentage,% change,
2013–18,Waikato,Waikato Region,Change in resident population count,54561,number,Number of people,
2013–18,Waikato,Waikato Region,Percentage change in resident population count,13.5,percentage,% change,
2013–18,Waikato,Waikato Region,Average annual change in resident population count,2.6,percentage,% change,
2006,Bay of Plenty,Bay of Plenty Region,Census usually resident population count,257379,number,Number of people,
